Estacion,Agrupacion,Fecha inicial,Fecha final,Parametro,Dias buenos,Dias aceptables,Dias malos,Dias muy malos,Dias extremadamente malos,Dias insuficientes
BINE : Benemerito Instituto Normal del Estado,2016-6,01/06/2016,30/06/2016,SO2,2,0,0,0,0,28
BINE : Benemerito Instituto Normal del Estado,2016-7,01/07/2016,31/07/2016,SO2,31,0,0,0,0,0
BINE : Benemerito Instituto Normal del Estado,2016-8,01/08/2016,31/08/2016,SO2,31,0,0,0,0,0
BINE : Benemerito Instituto Normal del Estado,2016-9,01/09/2016,30/09/2016,SO2,30,0,0,0,0,0
BINE : Benemerito Instituto Normal del Estado,2016-10,01/10/2016,31/10/2016,SO2,31,0,0,0,0,0
BINE : Benemerito Instituto Normal del Estado,2016-11,01/11/2016,30/11/2016,SO2,20,0,0,0,0,10
BINE : Benemerito Instituto Normal del Estado,2016-12,01/12/2016,31/12/2016,SO2,26,0,0,0,0,5
NIN : Las Ninfas,2016-1,01/12/2016,31/01/2016,SO2,26,0,0,0,0,0
NIN : Las Ninfas,2016-2,01/02/2016,29/02/2016,SO2,29,0,0,0,0,0
NIN : Las Ninfas,2016-3,01/03/2016,31/03/2016,SO2,31,0,0,0,0,0
NIN : Las Ninfas,2016-4,01/04/2016,30/04/2016,SO2,25,0,0,0,0,5
NIN : Las Ninfas,2016-5,01/05/2016,31/05/2016,SO2,21,0,0,0,0,10
NIN : Las Ninfas,2016-6,01/06/2016,30/06/2016,SO2,30,0,0,0,0,0
NIN : Las Ninfas,2016-7,01/07/2016,31/07/2016,SO2,30,0,0,0,0,1
NIN : Las Ninfas,2016-8,01/08/2016,31/08/2016,SO2,31,0,0,1,0,0
NIN : Las Ninfas,2016-9,01/09/2016,30/09/2016,SO2,30,0,0,0,0,0
NIN : Las Ninfas,2016-10,01/10/2016,31/10/2016,SO2,31,0,0,0,0,0
NIN : Las Ninfas,2016-11,01/10/2016,30/11/2016,SO2,30,0,0,0,0,0
NIN : Las Ninfas,2016-12,01/12/2016,31/12/2016,SO2,26,0,0,0,0,0
