Estacion,Agrupacion,Fecha inicial,Fecha final,Parametro,Dias buenos,Dias aceptables,Dias malos,Dias muy malos,Dias extremadamente malos,Dias insuficientes,Unnamed: 11
BINE : Benemerito Instituto Normal del Estado,,01/04/2017,30/04/2017,SO2,27,0,0,0,0,3,nan
,2017-5,01/05/2017,31/05/2017,SO2,18,0,0,0,0,13,
BINE : Benemerito Instituto Normal del Estado,2017-6,01/06/2017,30/06/2017,SO2,30,0,0,0,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2017-7,01/07/2017,31/07/2017,SO2,27,,0,0,0,4,nan
BINE : Benemerito Instituto Normal del Estado,2017-8,01/08/2017,31/08/2017,SO2,31,0,0,0,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2017-9,01/09/2017,30/09/2017,SO2,26,0,,0,0,4,nan
BINE : Benemerito Instituto Normal del Estado,2017-10,01/10/2017,31/10/2017,SO2,31,0,0,0,0,0,nan
NIN : Las Ninfas,2017-1,01/01/2017,31/01/2017,SO2,26,0,0,0,0,5,nan
NIN : Las Ninfas,2017-2,01/02/2017,28/02/2017,SO2,20,0,0,0,0,8,nan
NIN : Las Ninfas,2017-3,01/03/2017,31/03/2017,SO2,27,0,0,0,0,4,nan
NIN : Las Ninfas,2017-4,01/04/2017,30/04/2017,SO2,30,0,0,,0,0,nan
NIN : Las Ninfas,2017-5,01/05/2017,31/05/2017,SO2,31,0,0,0,0,0,nan
NIN : Las Ninfas,2017-6,01/06/2017,30/06/2017,Auto%#,30,0,0,0,0,0,nan
,2017-7,01/07/2017,31/07/2017,SO2,,0,0,0,0,2,nan
NIN : Las Ninfas,2017-8,01/08/2017,31/08/2017,SO2,31,0,0,0,0,0,nan
NIN : Las Ninfas,2017-9,01/09/2017,30/09/2017,SO2,30,0,0,0,0,0,nan
NIN : Las Ninfas,,01/10/2017,31/10/2017,SO2,25,0,0,0,0,6,nan
STA : Agua Santa,2017-1,01/01/2017,31/01/2017,SO2,28,0,0,0,0,3,nan
STA : Agua Santa,2017-2,01/02/2017,28/02/2017,SO2,23,0,0,,0,5,nan
STA : Agua Santa,2017-5,01/05/2017,31/05/2017,SO2,6,0,0,0,0,25,nan
STA : Agua Santa,2017-6,01/06/2017,30/06/2017,SO2,28,0,0,0,0,Auto%#,nan
STA : Agua Santa,2017-7,01/07/2017,31/07/2017,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2017-8,01/08/2017,31/08/2017,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2017-9,01/09/2017,30/09/2017,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2017-10,01/10/2017,31/10/2017,SO2,15,0,0,0,0,16,nan
STA : Agua Santa,2017-11,01/11/2017,30/11/2017,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2017-12,01/12/2017,31/12/2017,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-1,01/01/2017,31/01/2017,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-2,01/02/2017,28/02/2017,,26,0,0,0,0,2,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-3,01/03/2017,31/03/2017,SO2,30,0,0,0,0,,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-4,01/04/2017,30/04/2017,SO2,25,0,0,0,0,5,nan
Auto%#,2017-5,01/05/2017,31/05/2017,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-6,01/06/2017,30/06/2017,SO2,26,0,0,0,0,4,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-7,,31/07/2017,SO2,26,,0,0,0,5,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-8,01/08/2017,31/08/2017,SO2,31,0,0,0,0,0,
UTP : Universidad Tecnolï¿½gica de Puebla,2017-9,,30/09/2017,SO2,23,0,0,0,0,7,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-10,01/10/2017,31/10/2017,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-11,01/11/2017,30/11/2017,SO2,30,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2017-12,01/12/2017,,SO2,28,0,0,0,0,3,nan
VEL : Velodromo,2017-2,01/02/2017,28/02/2017,SO2,27,0,0,0,0,1,nan
VEL : Velodromo,2017-3,01/03/2017,31/03/2017,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2017-4,01/04/2017,30/04/2017,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,,01/05/2017,31/05/2017,SO2,31,Auto%#,0,0,0,0,nan
VEL : Velodromo,2017-6,01/06/2017,30/06/2017,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,2017-7,01/07/2017,31/07/2017,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2017-8,01/08/2017,31/08/2017,,31,0,0,0,0,Auto%#,nan
VEL : Velodromo,2017-9,01/09/2017,30/09/2017,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,,01/10/2017,31/10/2017,SO2,28,0,0,0,0,3,nan
VEL : Velodromo,2017-11,01/11/2017,30/11/2017,SO2,26,0,0,0,0,4,nan
VEL : Velodromo,2017-12,01/12/2017,31/12/2017,SO2,22,,0,0,0,9,nan
Agregado,2017-1,01/01/2017,31/01/2017,SO2,Auto%#,0,0,0,0,,nan
Agregado,2017-2,01/02/2017,28/02/2017,SO2,28,0,0,0,0,0,nan
Agregado,2017-3,01/03/2017,31/03/2017,SO2,31,0,0,0,0,0,nan
Agregado,2017-4,01/04/2017,30/04/2017,SO2,30,0,0,0,0,0,nan
Agregado,2017-5,01/05/2017,31/05/2017,SO2,31,0,0,0,0,0,nan
Agregado,2017-6,01/06/2017,30/06/2017,SO2,30,0,0,,0,0,nan
Agregado,2017-7,01/07/2017,31/07/2017,SO2,31,0,0,0,0,0,nan
Agregado,2017-8,01/08/2017,31/08/2017,SO2,31,0,0,0,0,0,nan
Agregado,2017-9,01/09/2017,30/09/2017,SO2,30,0,0,0,0,0,nan
Agregado,2017-10,01/10/2017,31/10/2017,SO2,31,0,0,0,0,0,nan
Agregado,2017-11,01/11/2017,30/11/2017,SO2,30,0,0,0,0,0,nan
Agregado,2017-12,,31/12/2017,SO2,31,0,0,0,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2018-2,01/02/2018,28/02/2018,SO2,26,0,0,0,0,2,nan
BINE : Benemerito Instituto Normal del Estado,2018-3,01/03/2018,31/03/2018,SO2,28,0,0,0,0,3,nan
BINE : Benemerito Instituto Normal del Estado,2018-4,01/04/2018,30/04/2018,SO2,24,0,0,0,0,Auto%#,nan
BINE : Benemerito Instituto Normal del Estado,2018-5,01/05/2018,31/05/2018,SO2,23,0,0,0,0,8,nan
BINE : Benemerito Instituto Normal del Estado,2018-6,01/06/2018,30/06/2018,SO2,21,0,0,0,Auto%#,9,nan
BINE : Benemerito Instituto Normal del Estado,2018-7,,31/07/2018,SO2,24,0,0,0,0,7,nan
BINE : Benemerito Instituto Normal del Estado,2018-8,01/08/2018,31/08/2018,SO2,31,0,0,0,0,0,nan
,2018-9,01/09/2018,30/09/2018,SO2,,0,0,0,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2018-10,01/10/2018,31/10/2018,,30,0,0,0,0,1,nan
BINE : Benemerito Instituto Normal del Estado,2018-11,01/11/2018,30/11/2018,SO2,25,0,0,0,0,5,nan
BINE : Benemerito Instituto Normal del Estado,2018-12,01/12/2018,31/12/2018,SO2,27,0,,0,0,4,nan
STA : Agua Santa,2018-1,01/01/2018,31/01/2018,SO2,22,0,0,0,0,9,nan
STA : Agua Santa,2018-2,01/02/2018,28/02/2018,,21,0,0,0,0,7,nan
STA : Agua Santa,2018-3,01/03/2018,31/03/2018,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2018-4,01/04/2018,30/04/2018,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2018-5,01/05/2018,31/05/2018,SO2,31,0,0,0,0,0,nan
